song_name,tabs
Back In Black,"E,D,A/C#,E,D,A/C#,E,D,A/C#,E,D,A/C#,E,D,A/C#,A,E,B,A,B,A,E,B,A,B,G,D,A,G,A,G,D,A,G,A,A,E,B,A,B,A,E,B,A,B,G,D,E,D,A/C#,E,D,A/C#,E,D,A/C#,E,D,A/C#,A,E,B,A,B,A,E,B,A,B,G,D,A,G,A,G,D,A,G,A,A,E,B,A,B,A,E,B,A,B,G,D,E,D,A/C#,A,E,B,A,B,A,E,B,A,B,G,D,A,G,A,G,D,A,G,A,A,E,B,A,B,A,E,B,A,B,G,D,A,E,B,A,B,A,A,E,B,A,B,A,A,E,B,A,B,A,A,E,B,A,B,G,D,A,G,A,G,D,A,G,A,A,E,B,A,B,A,A,E,B,A,B,A,A,E,B,A,B,A,E,B,A,B,G,D,A,G,A,G,D,A,G,A,A,E,B,A,B,A,E,B,A,B,G,D,C,B,E,D,A/C#"
Paradise City,"G,C,F,C,G,G5,F5,C5,Bb5,C5,C5,Bb5,G,F,G,G,G,C,C,F,C,G,G,C,F,C,G,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,C5,C5,Bb5,G5,F5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,C5,C5,Bb5,G5,F5,G,C,C,F,C,G,G,C,C,F,C,G,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,C5,C5,Bb5,G5,F5,G,C,C,F,C,G,G,C,C,F,C,G,D5,C5,D5,C5,D5,C5,D5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,Bb5,G5,F5,C5,C5,C5,Bb5,G5,F5,G,C,C,F,C,G,G,C,C,F,C,G,G,C,C,F,C,G,G,C,C,F,C,G,C,F,C,F,G,C,F,C,F,G"
Dream On,"Fm,Fm6,Bbm6,Fm,C7sus,Fm,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Dm7b5,C,Dm7b5,Bbm6,C,Dbmaj7,D7,C7,Fm,Eb,Db,Eb,Fm,Eb,Db,Eb,Fm,Fm7,Fm6,Bbm6,Fm,Fm9,Fm,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Fm,Fm7,Fm6,Bbm6,Fm,Eb,Db,Eb,Fm,Eb,Dm7b5,Dbmaj7,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bb,C,Db,Eb,Fm,Bb,C,Db,Eb,Fm,Bb,C,D,Eb,F,G,Ab,Bb,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C,Bbm,C"
Creep,"G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G"
Don't Stop Believin',"E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A,A,E,A,E,A,E,A,B,E,B,E,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A,A,E,A,E,A,E,A,B,E,B,E,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,G#m,A"
Heart-Shaped Box,"F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,D,Bm,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,F#m,D,Bm,D,Bm,D,Bm"
I Love Rock 'N Roll,"E,A,B,E,A,B,E,E,E,E,B,A,B,E,A,B,E,A,B,E,A,B,E,E,E,B,A,B,E,A,B,E,A,B,E,A,B,E,E,E,E,B,A,B,E,A,E,A,B,E,A,B,E"
Sweet Home Alabama,"D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,F,C,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,F,C,D,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,F,C,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G"
Seven Nation Army,"Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,G,A,Em,G,C,B,Am,B,E,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,G,A,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,Em,G,C,B,G,A"
House Of The Rising Sun,"Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E,Am,C,D,F,Am,E,Am,E,Am,C,D,F,Am,C,E,Am,C,D,F,Am,E7,Am,C,D,F7,Am,E7,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am,Dm,Am"
Under the Bridge,"D,F#,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,F#m,E,B/F#,F#m,E,B/F#,F#m,F#m,E,B/F#,F#m,E,B/F#,F#m,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,E,B,C#m,G#m,A,E,B,C#m,A,Emaj7,F#m,E,B/F#,F#m,E,B/F#,F#m,F#m,E,B/F#,F#m,E,B/F#,F#m,A,Am7,G6,Fmaj7,A,Am7,G6,Fmaj7,A,Am7,G6,Fmaj7,Fmaj7,E7,Gmaj7,A,C,G6,Fmaj7"
Paranoid,"E,D,G,D,E,E,D,G,D,E,E,C,D,E,E,D,G,D,E,E,D,G,D,E,E,C,D,E,E,D,G,D,E,E,D,G,D,E,E,D,G,D,E,E,D,G,D,E,E,C,D,E"
Sultans of Swing,"Cmaj,Bbmaj,A7,Cmaj,Bbmaj,A7,Fmaj,Cmaj,Bbmaj,Bbmaj,Bbmaj,Cmaj,Bbmaj,C,Bbmaj,Bbmaj,C,Cmaj,C,C,Bb,Bbmaj,C,Dm,Dm,C,C,Dm,C,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,A7,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C"
Have You Ever Seen The Rain,"Am,C,G,C,C,C,G,C,C,C,G,C,F,G,C,Am,F,G,C,Am,F,G,C,C,C,G,C,C,C,G,C,F,G,C,Am,F,G,C,Am,F,G,C,F,G,C,Am,F,G,C,Am,F,G,C,G,C"
American Girl,"D,E7,G,A,A,D,D,E7,E7,G,G,A7,A7,D,E7,G,A,D,E7,G,A,D,G,Em,A,G,A,D,Bm,G,A,D,A,D,Bm,G,A,D,D,G7,G7,A,D,D,D,D,G7,G7,A,A,D,D,D,D,E7,G,D,D,E7,G,D"
Zombie,"Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,Em,C,Em,C,G,D/F#,Em,C,Em,C,Em,C,Em"
Kickstart My Heart,"G,G#,Am,G,G#,Am,Am,G,D,D,Am,Am,C,G,D,Am,Am,C,G,D,Am,Am,Am,G,D,Am,G,D,Am,G,D,Am,G,F,Am,G,D,Am,G,D,Am,G,D,Am,G,F,C,G,D,C,G,D,C,G,D,C,G,D,Am,G,D"
Born in the U.S.A.,"B,E,B,E,B,B,E,B,E,B,B,E,B,B,B,B,E,E,E,E,B,E,B,E,E,E,E,B,E,B,E,B,E,B,B,B,B,E,E,E,E"
Come As You Are,"F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,A,F#m,A,F#m,A,F#m,A,F#m,E,F#m,E,F#m,E,F#m,E,F#m,A,F#m,A,F#m,A,F#m,A,Bm,D,Bm,D,Bm,D,Bm,D,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,F#m,A,F#m,A,F#m,A,F#m,A,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,F#m,E,F#m,E,F#m,E,F#m,E,F#sus4"
All Along the Watchtower,"Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Ab,Bb,Cm"
