,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49,dominant_topic
Back In Black,0.0,0.11887457966804504,0.3873111605644226,0.0,0.0,0.0,0.0,0.0,0.015902820974588394,0.0,0.016841551288962364,0.01578322984278202,0.0,0.0,0.0,0.0,0.0,0.03948163986206055,0.0,0.0,0.0,0.01846565119922161,0.024787425994873047,0.0,0.01279902271926403,0.0,0.0,0.0,0.0,0.0,0.021390670910477638,0.027180198580026627,0,0.0,0.04498247802257538,0.0,0.017870742827653885,0.0,0.07587295770645142,0.0,0.0,0.0,0.02696269564330578,0.0,0.0,0.025189297273755074,0.0,0.0,0.0,0.0,2
Paradise City,0.0,0.047980014234781265,0.017956199124455452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03039245866239071,0.0,0.0,0.0,0.0,0.0,0.03577439859509468,0.0,0.01608925312757492,0.01369486190378666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6723870038986206,0.0,0,0.0,0.0,0.018068747594952583,0.033779360353946686,0.0,0.012352046556770802,0.0,0.0,0.0,0.0,0.0,0.0,0.013073020614683628,0.0,0.0,0.0,0.0,30
Dream On,0.01384403184056282,0.012281770817935467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010867071337997913,0.2882501184940338,0.0,0.2698999047279358,0.0,0.010251020081341267,0.0,0.0,0.0,0.014238609001040459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02065679244697094,0.0,0.046905748546123505,0.04434937983751297,0.0,0,0.035657260566949844,0.016628077253699303,0.0,0.0,0.0,0.07619494199752808,0.0,0.0,0.0,0.0,0.0,0.0,0.01495756208896637,0.0,0.0,0.021793367341160774,0.0,11
Creep,0.0,0.0,0.011724291369318962,0.0,0.0,0.0,0.0,0.0,0.0,0.061983395367860794,0.0,0.04980195313692093,0.020027581602334976,0.0,0.3526839017868042,0.03338385745882988,0.0,0.0,0.0,0.010084167122840881,0.0,0.08251731097698212,0.012088200077414513,0.0,0.0,0.05002454295754433,0.0,0.0,0.017460355535149574,0.0,0.0,0.0,0,0.0,0.01155500765889883,0.0,0.03476174548268318,0.0,0.07655118405818939,0.0,0.0,0.0,0.0,0.0,0.0,0.011175571009516716,0.0,0.021352900192141533,0.019609278067946434,0.0,14
Don't Stop Believin',0.03843831643462181,0.0,0.0,0.0,0.029955098405480385,0.0,0.0,0.04300636425614357,0.0,0.0,0.0,0.0,0.0,0.014871321618556976,0.0,0.0,0.0,0.016822630539536476,0.04112527519464493,0.0275027584284544,0.0,0.024158602580428123,0.03807413950562477,0.0,0.0,0.0,0.0,0.014288357459008694,0.0,0.03322960063815117,0.025426426902413368,0.0,0,0.0,0.011486506089568138,0.0,0.0,0.0,0.038128890097141266,0.020761199295520782,0.014516498893499374,0.0,0.0,0.010983324609696865,0.0,0.4539788067340851,0.0,0.0,0.03172444924712181,0.0,45
Heart-Shaped Box,0.0,0.0,0.06097112596035004,0.0,0.0,0.0,0.0,0.0,0.4408683478832245,0.03786139935255051,0.011346088722348213,0.0,0.0,0.014511129818856716,0.0,0.0,0.14529673755168915,0.0,0.0,0.0,0.0,0.0,0.0,0.021206030622124672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08304119110107422,0,0.0,0.0,0.0306501816958189,0.0,0.020612994208931923,0.0,0.0,0.010274594649672508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
I Love Rock 'N Roll,0.0,0.05443105846643448,0.06819283217191696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06370288878679276,0.0,0.0,0.0,0.0,0.0,0.0,0.011361181735992432,0.08306748420000076,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000785827636719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Sweet Home Alabama,0.01499201636761427,0.023917583748698235,0.043650612235069275,0.0,0.09409954398870468,0.0,0.0,0.0,0.0,0.0,0.0,0.01245488878339529,0.012826924212276936,0.014467084780335426,0.0,0.0,0.0,0.01663910411298275,0.0,0.0230600256472826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01274135522544384,0.0,0.0,0.0,0.0,0,0.05023597180843353,0.06191688030958176,0.0,0.011147323995828629,0.0,0.0,0.0,0.051078639924526215,0.0,0.2204003781080246,0.0,0.0,0.03551667928695679,0.0,0.0,0.0,0.2152591049671173,42
Seven Nation Army,0.02216068096458912,0.0,0.0,0.0,0.017348960041999817,0.0,0.0,0.0,0.01793542131781578,0.0,0.0,0.018766382709145546,0.018376987427473068,0.0,0.0,0.0,0.0,0.2687346637248993,0.01654708757996559,0.03694290667772293,0.0,0.09336105734109879,0.08262421190738678,0.0,0.0,0.060266535729169846,0.0,0.0,0.0,0.0,0.0,0.0,0,0.016239076852798462,0.04525575786828995,0.019937973469495773,0.0,0.0,0.03267831355333328,0.0,0.06531140208244324,0.0,0.026322953402996063,0.0,0.0,0.02681449055671692,0.0,0.0,0.0,0.0,17
House Of The Rising Sun,0.0,0.0,0.011726257391273975,0.01910731941461563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010227017104625702,0.0,0.020022235810756683,0.0,0.04263990744948387,0.0,0.010341658256947994,0.0,0.0,0.0486077256500721,0.03909453749656677,0.0,0.0,0.035067733377218246,0.02309807762503624,0.0,0.0,0.010035304352641106,0.0,0,0.0,0.4409603774547577,0.023341171443462372,0.0,0.0,0.06692475825548172,0.0,0.0,0.0,0.0,0.052125927060842514,0.0,0.01232096552848816,0.0,0.0,0.0,0.0,34
