,playlist_name,playlist_id,playlist_genre,track_name,track_id,track_artist_name,track_artist_id,danceability,energy,key,loudness,mode,acousticness,valence,tempo
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,711MCceyCBcFnzjGY4Q7Un,0.31,0.7,9,-5.678,1,0.011,0.763,188.386
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Paradise City,3YBZIN3rekqsKxbJc9FZko,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,0.273,0.952,11,-8.762,1,0.0169,0.472,100.271
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,Queen,1dfeR4HaWDbWqFHLkxsg1d,0.933,0.528,5,-6.472,0,0.112,0.756,109.975
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Dream On,5MxNLUsfh7uzROypsoO5qe,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,0.307,0.433,1,-10.057,1,0.388,0.224,160.9
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Creep,70LcF31zb1H0PyJoS1Sx1r,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,0.515,0.43,7,-9.935,1,0.0097,0.104,91.844
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,Journey,0rvjqX7ttXeg3mTy8Xscbt,0.5,0.748,4,-9.072,1,0.127,0.514,118.852
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,0.828,0.492,0,-9.744,1,0.0644,0.789,120.151
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,3RGLhK1IP9jnYFH4BRFJBS,0.743,0.836,2,-6.465,1,0.0804,0.82,113.375
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,Nirvana,6olE6TJLqED3rqDCT0FyPh,0.256,0.641,1,-10.283,1,0.199,0.382,203.006
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,0.535,0.716,4,-5.025,1,0.326,0.901,94.379
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Sweet Home Alabama,4CJVkjo5WpmUAKp3R44LNb,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,0.597,0.605,7,-12.013,1,0.181,0.886,97.782
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Every Breath You Take - Remastered 2003,2sXp9Qmvc7mRaDBjBgcGGi,The Police,5NGO30tJxFlKixkPSgXcFE,0.813,0.46,1,-9.78,1,0.56,0.729,117.387
0,Rock Classics,37i9dQZF1DWXRqgorJj26U,Rock,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,4F84IBURUo98rz4r61KF70,0.743,0.446,4,-7.807,0,0.0039,0.278,123.596
